symbol,listDate,fullname,listed Price,Rate,List Price MNT
NAS,2021-12-13 20:02:22,Nebulas,0.3363,2849.36,958.24
NAV,2021-12-13 20:02:22,Navcoin,0.33217,2849.36,946.47
GTO,2021-12-13 20:02:22,Gifto,0.064,2849.36,182.36
WTC,2021-12-13 20:02:22,Walton,1.085,2849.36,3091.56
XVG,2021-12-13 20:02:22,Verge,0.01872,2849.36,53.34
EPS,2021-12-13 20:02:22,Ellipsis,NA,2849.36,NA
DNT,2021-12-13 20:02:22,District0X,0.1277,2849.36,363.86
CLV,2021-12-13 20:02:22,Clover Finance,0.965,2849.36,2749.63
FLOW,2021-12-13 20:02:22,Flow,9.21,2849.36,26242.61
XVS,2021-12-13 20:02:22,Venus,17.86,2849.36,50889.57
STEEM,2021-12-13 20:02:22,Steem,0.4644,2849.36,1323.24
BVND,2021-12-13 20:02:22,Binance VND,NA,2849.36,NA
SLP,2021-12-13 20:02:22,Smooth Love Potion,0.0382,2849.36,108.85
VRT,2021-12-13 20:02:22,Venus reward token,0.0007,2849.36,1.99
NBS,2021-12-13 20:02:22,New Bitshares,0.0159,2849.36,45.30
DON,2021-12-13 20:02:22,Donkey,0.5351,2849.36,1524.69
LAZIO,2021-12-13 20:02:22,Lazio Fan Token,5.9611,2849.36,16985.32
DOT,2021-12-13 20:02:22,Polkadot,29.56,2849.36,84227.08
IQ,2021-12-13 20:02:22,Everipedia,0.01265,2849.36,36.04
1INCH,2021-12-13 20:02:22,1INCH Network,2.255,2849.36,6425.31
CHESS,2021-12-13 20:02:22,Tranchess,1.743,2849.36,4966.43
MITH,2021-12-13 20:02:22,Mithril,0.05707,2849.36,162.61
ERD,2021-12-13 20:02:22,ELDORADO TOKEN,N/A,2849.36,N/A
DEGO,2021-12-13 20:02:22,Dego Finance,5.497,2849.36,15662.93
CND,2021-12-13 20:02:22,Cindicator,0.01252,2849.36,35.67
GYEN,2021-12-13 20:02:22,GYEN,0.0088,2849.36,25.07
UNFI,2021-12-13 20:02:22,Unifi Protocol DAO,9.73,2849.36,27724.27
FTM,2021-12-13 20:02:22,Fantom,1.4926,2849.36,4252.95
POWR,2021-12-13 20:02:22,Powerledger,0.4122,2849.36,1174.51
ERN,2021-12-13 20:02:22,Ethernity,10.47,2849.36,29832.80
GVT,2021-12-13 20:02:22,Genesis Vision,0.3412,2849.36,972.20
FTT,2021-12-13 20:02:22,FTX Token,40.43,2849.36,115199.62
VOXEL,2021-12-13 20:02:22,VOXEL,0.2,2849.36,569.87
PHA,2021-12-13 20:02:22,Phala Network,0.4256,2849.36,1212.69
RLC,2021-12-13 20:02:22,iExecRLC,2.671,2849.36,7610.64
PHB,2021-12-13 20:02:22,Phoenix Global,0.514,2849.36,1464.57
ATOM,2021-12-13 20:02:22,Cosmos,21.75,2849.36,61973.58
QUICK,2021-12-13 20:02:22,QuickSwap,212.5,2849.36,605489.00
BLZ,2021-12-13 20:02:22,Bluzelle,0.2252,2849.36,641.68
SNM,2021-12-13 20:02:22,SONM,0.2792,2849.36,795.54
BOBA,2021-12-13 20:02:22,Boba Network,3.2873,2849.36,9366.70
MBL,2021-12-13 20:02:22,MovieBloc,0.008929,2849.36,25.44
MTLX,2021-12-13 20:02:22,Mettalex,1.2053,2849.36,3434.33
SNT,2021-12-13 20:02:22,Status,0.07503,2849.36,213.79
SNX,2021-12-13 20:02:22,Synthetix Network Token,5.545,2849.36,15799.70
FUN,2021-12-13 20:02:22,Fun Token,0.01295,2849.36,36.90
SNMOLD,2021-12-13 20:02:22,SONM,0.2792,2849.36,795.54
COS,2021-12-13 20:02:22,Contentos,0.02674,2849.36,76.19
QKC,2021-12-13 20:02:22,QuarkChain,0.02305,2849.36,65.68
ROSE,2021-12-13 20:02:22,Oasis network,0.29646,2849.36,844.72
XYM,2021-12-13 20:02:22,Symbol,0.2968,2849.36,845.69
SOL,2021-12-13 20:02:22,Solana,173.1,2849.36,493224.22
CITY,2021-12-13 20:02:22,Manchester City Fan Token,10.36,2849.36,29519.37
ETC,2021-12-13 20:02:22,Ethereum Classic,37.94,2849.36,108104.72
BNC,2021-12-13 20:02:22,Bifrost,2.0993,2849.36,5981.66
BNB,2021-12-13 20:02:22,BNB,570.7,2849.36,1626129.75
CELR,2021-12-13 20:02:22,Celer network,0.07014,2849.36,199.85
OGN,2021-12-13 20:02:22,Origin Token,0.6841,2849.36,1949.25
ETH,2021-12-13 20:02:22,Ethereum,4131.99,2849.36,11773527.03
MCO,2021-12-13 20:02:22,NA,NA,2849.36,#VALUE!
NEO,2021-12-13 20:02:22,NEO,28.17,2849.36,80266.47
TOMO,2021-12-13 20:02:22,TomoChain,1.8478,2849.36,5265.05
CELO,2021-12-13 20:02:22,Celo,3.469,2849.36,9884.43
KLAY,2021-12-13 20:02:22,Klaytn,1.2289,2849.36,3501.58
AUCTION,2021-12-13 20:02:22,Auction,24.17,2849.36,68869.03
BADGER,2021-12-13 20:02:22,Badger DAO,13.9,2849.36,39606.10
GXS,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
TRB,2021-12-13 20:02:22,Tellor,30.56,2849.36,87076.44
BNT,2021-12-13 20:02:22,Bancor,3.139,2849.36,8944.14
QLC,2021-12-13 20:02:22,Kepple,0.0472,2849.36,134.49
LBA,2021-12-13 20:02:22,Cred,0.003309,2849.36,9.43
MDA,2021-12-13 20:02:22,Moeda Loyalty Points,0.6311,2849.36,1798.23
BNX,2021-12-13 20:02:22,BinaryX,94.7,2849.36,269834.39
UTK,2021-12-13 20:02:22,Utrust,0.3027,2849.36,862.50
WSOL,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
HEGIC,2021-12-13 20:02:22,Hegic,0.08295,2849.36,236.35
MA,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
AMB,2021-12-13 20:02:22,AirDAO,0.03402,2849.36,96.94
TRU,2021-12-13 20:02:22,TrueFi,0.3,2849.36,854.81
MC,2021-12-13 20:02:22,Merit Circle,4.233,2849.36,12061.34
WBNB,2021-12-13 20:02:22,Wrapped BNB,571.34,2849.36,1627953.34
FUEL,2021-12-13 20:02:22,Etherparty,0.0005941,2849.36,1.69
DREP,2021-12-13 20:02:22,drep,0.8593,2849.36,2448.46
TRX,2021-12-13 20:02:22,tron,0.091136,2849.36,259.68
